a2,c2,b2,l2
b3,l3,c3,a3
b0,a0,l0,c0
a4,l4,c4,b4
c0,a0,l0,b0
l1,c1,a1,b1
a0,c0,b0,l0
a2,c2,l2,b2
a0,c0,b0,l0
l1,c1,a1,b1
b1,l1,c1,a1
b3,c3,l3,a3
b3,c3,a3,l3
b3,c3,a3,l3
b3,c3,a3,l3
l3,c3,a3,b3
l1,a1,b1,c1
l0,c0,a0,b0
a3,l3,b3,c3
a3,c3,b3,l3
a4,b4,c4,l4
b0,a0,c0,l0
b1,c1,l1,a1
b3,c3,l3,a3
b2,a2,l2,c2
b4,l4,a4,c4
c3,a3,b3,l3
c3,a3,b3,l3
b1,a1,l1,c1
b2,a2,l2,c2
c4,a4,b4,l4
c2,b2,a2,l2
c1,b1,a1,l1
c4,b4,a4,l4
c0,b0,a0,l0
b1,l1,a1,c1
c2,l2,b2,a2
a4,l4,b4,c4
a2,l2,b2,c2
c1,a1,l1,b1
b0,c0,l0,a0
c4,b4,a4,l4
b0,c0,a0,l0
c1,b1,l1,a1
c3,b3,a3,l3
l4,a4,c4,b4
c1,a1,b1,l1
a1,c1,b1,l1
a0,b0,c0,l0
l3,c3,a3,b3
l4,c4,a4,b4
l3,a3,b3,c3
a4,l4,c4,b4
l2,a2,c2,b2
c0,b0,a0,l0
